condition	treatment	dose_uM	t	density	density_se	n_wells
treatment	Esomeprazole	4e-4	0	4.711723758939002e-8	NA	3
treatment	Esomeprazole	4e-4	0.1	4.9473798093205294e-8	NA	3
treatment	Esomeprazole	4e-4	0.2	5.192927616913158e-8	NA	3
treatment	Esomeprazole	4e-4	0.30000000000000004	5.4486975255658425e-8	NA	3
treatment	Esomeprazole	4e-4	0.4	5.7150313924398895e-8	NA	3
treatment	Esomeprazole	4e-4	0.5	5.992283517478358e-8	NA	3
treatment	Esomeprazole	4e-4	0.6000000000000001	6.280821655100351e-8	NA	3
treatment	Esomeprazole	4e-4	0.7000000000000001	6.581028111020205e-8	NA	3
treatment	Esomeprazole	4e-4	0.8	6.893300927028965e-8	NA	3
treatment	Esomeprazole	4e-4	0.9	7.21805515651215e-8	NA	3
treatment	Esomeprazole	4e-4	1	7.555724233440364e-8	NA	3
treatment	Esomeprazole	4e-4	1.1	7.906761437573266e-8	NA	3
treatment	Esomeprazole	4e-4	1.2000000000000002	8.271641458651537e-8	NA	3
treatment	Esomeprazole	4e-4	1.3	8.650862062408588e-8	NA	3
treatment	Esomeprazole	4e-4	1.4000000000000001	9.044945861361248e-8	NA	3
treatment	Esomeprazole	4e-4	1.5	9.454442193469775e-8	NA	3
treatment	Esomeprazole	4e-4	1.6	9.879929111977047e-8	NA	3
treatment	Esomeprazole	4e-4	1.7000000000000002	1.0322015489963235e-7	NA	3
treatment	Esomeprazole	4e-4	1.8	1.0781343243444408e-7	NA	3
treatment	Esomeprazole	4e-4	1.9000000000000001	1.1258589677190639e-7	NA	3
treatment	Esomeprazole	4e-4	2	1.1754469957807516e-7	NA	3
treatment	Esomeprazole	4e-4	2.1	1.2269739719069916e-7	NA	3
treatment	Esomeprazole	4e-4	2.2	1.280519780495873e-7	NA	3
treatment	Esomeprazole	4e-4	2.3000000000000003	1.336168915637585e-7	NA	3
treatment	Esomeprazole	4e-4	2.4000000000000004	1.3940107848067638e-7	NA	3
treatment	Esomeprazole	4e-4	2.5	1.454140028289268e-7	NA	3
treatment	Esomeprazole	4e-4	2.6	1.5166568551197053e-7	NA	3
treatment	Esomeprazole	4e-4	2.7	1.5816673963731854e-7	NA	3
treatment	Esomeprazole	4e-4	2.8000000000000003	1.6492840767262818e-7	NA	3
treatment	Esomeprazole	4e-4	2.9000000000000004	1.7196260052727319e-7	NA	3
treatment	Esomeprazole	4e-4	3	1.7928193866590304e-7	NA	3
treatment	Esomeprazole	4e-4	3.1	1.8689979536793238e-7	NA	3
treatment	Esomeprazole	4e-4	3.2	1.9483034225533546e-7	NA	3
treatment	Esomeprazole	4e-4	3.3000000000000003	2.0308859721914343e-7	NA	3
treatment	Esomeprazole	4e-4	3.4000000000000004	2.1169047488361782e-7	NA	3
treatment	Esomeprazole	4e-4	3.5	2.2065283975544694e-7	NA	3
treatment	Esomeprazole	4e-4	3.6	2.2999356221448067e-7	NA	3
treatment	Esomeprazole	4e-4	3.7	2.397315775108433e-7	NA	3
treatment	Esomeprazole	4e-4	3.8000000000000003	2.4988694794247176e-7	NA	3
treatment	Esomeprazole	4e-4	3.9000000000000004	2.604809283965639e-7	NA	3
treatment	Esomeprazole	4e-4	4	2.715360354462246e-7	NA	3
treatment	Esomeprazole	4e-4	4.1000000000000005	2.8307612020456653e-7	NA	3
treatment	Esomeprazole	4e-4	4.2	2.95126445146099e-7	NA	3
treatment	Esomeprazole	4e-4	4.3	3.077137651151734e-7	NA	3
treatment	Esomeprazole	4e-4	4.4	3.208664127502393e-7	NA	3
treatment	Esomeprazole	4e-4	4.5	3.3461438856223907e-7	NA	3
treatment	Esomeprazole	4e-4	4.6000000000000005	3.4898945591321114e-7	NA	3
treatment	Esomeprazole	4e-4	4.7	3.640252411522464e-7	NA	3
treatment	Esomeprazole	4e-4	4.800000000000001	3.7975733917272017e-7	NA	3
treatment	Esomeprazole	4e-4	4.9	3.9622342466528193e-7	NA	3
treatment	Esomeprazole	4e-4	5	4.134633693480234e-7	NA	3
treatment	Esomeprazole	4e-4	5.1000000000000005	4.3151936546585326e-7	NA	3
treatment	Esomeprazole	4e-4	5.2	4.5043605585666126e-7	NA	3
treatment	Esomeprazole	4e-4	5.300000000000001	4.7026067089237205e-7	NA	3
treatment	Esomeprazole	4e-4	5.4	4.910431726091349e-7	NA	3
treatment	Esomeprazole	4e-4	5.5	5.128364063488239e-7	NA	3
treatment	Esomeprazole	4e-4	5.6000000000000005	5.356962602413375e-7	NA	3
treatment	Esomeprazole	4e-4	5.7	5.596818328636839e-7	NA	3
treatment	Esomeprazole	4e-4	5.800000000000001	5.848556094180113e-7	NA	3
treatment	Esomeprazole	4e-4	5.9	6.112836467776498e-7	NA	3
treatment	Esomeprazole	4e-4	6	6.390357677545764e-7	NA	3
treatment	Esomeprazole	4e-4	6.1000000000000005	6.681857649483448e-7	NA	3
treatment	Esomeprazole	4e-4	6.2	6.988116145401386e-7	NA	3
treatment	Esomeprazole	4e-4	6.300000000000001	7.309957004012341e-7	NA	3
treatment	Esomeprazole	4e-4	6.4	7.648250488890267e-7	NA	3
treatment	Esomeprazole	4e-4	6.5	8.003915747069404e-7	NA	3
treatment	Esomeprazole	4e-4	6.6000000000000005	8.377923382105502e-7	NA	3
treatment	Esomeprazole	4e-4	6.7	8.771298145438427e-7	NA	3
treatment	Esomeprazole	4e-4	6.800000000000001	9.185121749955481e-7	NA	3
treatment	Esomeprazole	4e-4	6.9	9.620535809676376e-7	NA	3
treatment	Esomeprazole	4e-4	7	1.0078744909553542e-6	NA	3
treatment	Esomeprazole	4e-4	7.1000000000000005	1.0561019809424342e-6	NA	3
treatment	Esomeprazole	4e-4	7.2	1.106870078620553e-6	NA	3
treatment	Esomeprazole	4e-4	7.300000000000001	1.1603201118532687e-6	NA	3
treatment	Esomeprazole	4e-4	7.4	1.21660107181178e-6	NA	3
treatment	Esomeprazole	4e-4	7.5	1.2758699912216868e-6	NA	3
treatment	Esomeprazole	4e-4	7.6000000000000005	1.338292338177796e-6	NA	3
treatment	Esomeprazole	4e-4	7.7	1.4040424259977045e-6	NA	3
treatment	Esomeprazole	4e-4	7.800000000000001	1.4733038396088998e-6	NA	3
treatment	Esomeprazole	4e-4	7.9	1.5462698789906676e-6	NA	3
treatment	Esomeprazole	4e-4	8	1.6231440202203541e-6	NA	3
treatment	Esomeprazole	4e-4	8.1	1.7041403947157927e-6	NA	3
treatment	Esomeprazole	4e-4	8.200000000000001	1.7894842873002233e-6	NA	3
treatment	Esomeprazole	4e-4	8.3	1.8794126537805322e-6	NA	3
treatment	Esomeprazole	4e-4	8.4	1.9741746587737733e-6	NA	3
treatment	Esomeprazole	4e-4	8.5	2.0740322345967125e-6	NA	3
treatment	Esomeprazole	4e-4	8.6	2.1792606621060132e-6	NA	3
treatment	Esomeprazole	4e-4	8.700000000000001	2.290149174466729e-6	NA	3
treatment	Esomeprazole	4e-4	8.8	2.407001584927264e-6	NA	3
treatment	Esomeprazole	4e-4	8.9	2.5301369397919834e-6	NA	3
treatment	Esomeprazole	4e-4	9	2.659890197909785e-6	NA	3
treatment	Esomeprazole	4e-4	9.1	2.796612938134679e-6	NA	3
treatment	Esomeprazole	4e-4	9.200000000000001	2.9406740963704136e-6	NA	3
treatment	Esomeprazole	4e-4	9.3	3.0924607339806496e-6	NA	3
treatment	Esomeprazole	4e-4	9.4	3.2523788395280746e-6	NA	3
treatment	Esomeprazole	4e-4	9.5	3.42085416600971e-6	NA	3
treatment	Esomeprazole	4e-4	9.600000000000001	3.5983331059686305e-6	NA	3
treatment	Esomeprazole	4e-4	9.700000000000001	3.7852836070900366e-6	NA	3
treatment	Esomeprazole	4e-4	9.8	3.982196131143705e-6	NA	3
treatment	Esomeprazole	4e-4	9.9	4.189584659387174e-6	NA	3
treatment	Esomeprazole	4e-4	10	4.407987747823691e-6	NA	3
treatment	Esomeprazole	4e-4	10.100000000000001	4.6379696359915295e-6	NA	3
treatment	Esomeprazole	4e-4	10.200000000000001	4.880121413268072e-6	NA	3
treatment	Esomeprazole	4e-4	10.3	5.135062246972653e-6	NA	3
treatment	Esomeprazole	4e-4	10.4	5.403440676881622e-6	NA	3
treatment	Esomeprazole	4e-4	10.5	5.685935981083286e-6	NA	3
treatment	Esomeprazole	4e-4	10.600000000000001	5.9832596184500724e-6	NA	3
treatment	Esomeprazole	4e-4	10.700000000000001	6.296156753317881e-6	NA	3
treatment	Esomeprazole	4e-4	10.8	6.625407868327736e-6	NA	3
treatment	Esomeprazole	4e-4	10.9	6.971830471696744e-6	NA	3
treatment	Esomeprazole	4e-4	11	7.336280905538798e-6	NA	3
treatment	Esomeprazole	4e-4	11.100000000000001	7.719656262173302e-6	NA	3
treatment	Esomeprazole	4e-4	11.200000000000001	8.122896415698616e-6	NA	3
treatment	Esomeprazole	4e-4	11.3	8.546986176397958e-6	NA	3
treatment	Esomeprazole	4e-4	11.4	8.992957575875841e-6	NA	3
treatment	Esomeprazole	4e-4	11.5	9.461892291097461e-6	NA	3
treatment	Esomeprazole	4e-4	11.600000000000001	9.954924215785524e-6	NA	3
treatment	Esomeprazole	4e-4	11.700000000000001	1.0473242187894796e-5	NA	3
treatment	Esomeprazole	4e-4	11.8	1.1018092882117286e-5	NA	3
treatment	Esomeprazole	4e-4	11.9	1.1590783876618632e-5	NA	3
treatment	Esomeprazole	4e-4	12	1.2192686903396592e-5	NA	3
treatment	Esomeprazole	4e-4	12.100000000000001	1.2825241291845804e-5	NA	3
treatment	Esomeprazole	4e-4	12.200000000000001	1.3489957615287254e-5	NA	3
treatment	Esomeprazole	4e-4	12.3	1.4188421550376014e-5	NA	3
treatment	Esomeprazole	4e-4	12.4	1.4922297959407632e-5	NA	3
treatment	Esomeprazole	4e-4	12.5	1.569333520567754e-5	NA	3
treatment	Esomeprazole	4e-4	12.600000000000001	1.65033697121335e-5	NA	3
treatment	Esomeprazole	4e-4	12.700000000000001	1.7354330773611626e-5	NA	3
treatment	Esomeprazole	4e-4	12.8	1.8248245633018427e-5	NA	3
treatment	Esomeprazole	4e-4	12.9	1.9187244831854996e-5	NA	3
treatment	Esomeprazole	4e-4	13	2.0173567845464245e-5	NA	3
treatment	Esomeprazole	4e-4	13.100000000000001	2.1209569013393694e-5	NA	3
treatment	Esomeprazole	4e-4	13.200000000000001	2.229772377525256e-5	NA	3
treatment	Esomeprazole	4e-4	13.3	2.344063522234788e-5	NA	3
treatment	Esomeprazole	4e-4	13.4	2.4641040975369246e-5	NA	3
treatment	Esomeprazole	4e-4	13.5	2.5901820398265505e-5	NA	3
treatment	Esomeprazole	4e-4	13.600000000000001	2.7226002158349417e-5	NA	3
treatment	Esomeprazole	4e-4	13.700000000000001	2.861677214255267e-5	NA	3
treatment	Esomeprazole	4e-4	13.8	3.00774817395501e-5	NA	3
treatment	Esomeprazole	4e-4	13.9	3.161165649734746e-5	NA	3
treatment	Esomeprazole	4e-4	14	3.3223005165655816e-5	NA	3
treatment	Esomeprazole	4e-4	14.100000000000001	3.491542913217196e-5	NA	3
treatment	Esomeprazole	4e-4	14.200000000000001	3.669303226160259e-5	NA	3
treatment	Esomeprazole	4e-4	14.3	3.856013114601464e-5	NA	3
treatment	Esomeprazole	4e-4	14.4	4.052126577470426e-5	NA	3
treatment	Esomeprazole	4e-4	14.5	4.258121063149141e-5	NA	3
treatment	Esomeprazole	4e-4	14.600000000000001	4.474498622696979e-5	NA	3
treatment	Esomeprazole	4e-4	14.700000000000001	4.70178710728258e-5	NA	3
treatment	Esomeprazole	4e-4	14.8	4.940541410497033e-5	NA	3
treatment	Esomeprazole	4e-4	14.9	5.191344756177209e-5	NA	3
treatment	Esomeprazole	4e-4	15	5.454810032330728e-5	NA	3
treatment	Esomeprazole	4e-4	15.100000000000001	5.731581171711349e-5	NA	3
treatment	Esomeprazole	4e-4	15.200000000000001	6.0223345795494516e-5	NA	3
treatment	Esomeprazole	4e-4	15.3	6.327780608915339e-5	NA	3
treatment	Esomeprazole	4e-4	15.4	6.648665084150432e-5	NA	3
treatment	Esomeprazole	4e-4	15.5	6.985770872781854e-5	NA	3
treatment	Esomeprazole	4e-4	15.600000000000001	7.339919506316537e-5	NA	3
treatment	Esomeprazole	4e-4	15.700000000000001	7.711972850296492e-5	NA	3
treatment	Esomeprazole	4e-4	15.8	8.102834824011945e-5	NA	3
treatment	Esomeprazole	4e-4	15.9	8.513453170279562e-5	NA	3
treatment	Esomeprazole	4e-4	16	8.944821275720091e-5	NA	3
treatment	Esomeprazole	4e-4	16.1	9.397980042047669e-5	NA	3
treatment	Esomeprazole	4e-4	16.2	9.874019808945129e-5	NA	3
treatment	Esomeprazole	4e-4	16.3	1.0374082329192008e-4	NA	3
treatment	Esomeprazole	4e-4	16.400000000000002	1.0899362796881763e-4	NA	3
treatment	Esomeprazole	4e-4	16.5	1.1451111929677191e-4	NA	3
treatment	Esomeprazole	4e-4	16.6	1.2030638106301159e-4	NA	3
treatment	Esomeprazole	4e-4	16.7	1.2639309560648506e-4	NA	3
treatment	Esomeprazole	4e-4	16.8	1.327855663420216e-4	NA	3
treatment	Esomeprazole	4e-4	16.900000000000002	1.394987408875469e-4	NA	3
treatment	Esomeprazole	4e-4	17	1.4654823481750697e-4	NA	3
treatment	Esomeprazole	4e-4	17.1	1.539503560701974e-4	NA	3
treatment	Esomeprazole	4e-4	17.2	0.00016172213004044182	NA	3
treatment	Esomeprazole	4e-4	17.3	1.6988132539453365e-4	NA	3
treatment	Esomeprazole	4e-4	17.400000000000002	1.784464806488623e-4	NA	3
treatment	Esomeprazole	4e-4	17.5	1.8743693155992954e-4	NA	3
treatment	Esomeprazole	4e-4	17.6	1.9687283937892613e-4	NA	3
treatment	Esomeprazole	4e-4	17.7	2.0677522003038267e-4	NA	3
treatment	Esomeprazole	4e-4	17.8	2.1716597428120884e-4	NA	3
treatment	Esomeprazole	4e-4	17.900000000000002	2.280679189726855e-4	NA	3
treatment	Esomeprazole	4e-4	18	2.395048193952357e-4	NA	3
treatment	Esomeprazole	4e-4	18.1	2.515014228922197e-4	NA	3
treatment	Esomeprazole	4e-4	18.2	2.64083493786109e-4	NA	3
treatment	Esomeprazole	4e-4	18.3	2.7727784972678496e-4	NA	3
treatment	Esomeprazole	4e-4	18.400000000000002	2.911123995679525e-4	NA	3
treatment	Esomeprazole	4e-4	18.5	3.056161828837548e-4	NA	3
treatment	Esomeprazole	4e-4	18.6	3.208194112424875e-4	NA	3
treatment	Esomeprazole	4e-4	18.7	3.367535113595333e-4	NA	3
treatment	Esomeprazole	4e-4	18.8	3.5345117025459126e-4	NA	3
treatment	Esomeprazole	4e-4	18.900000000000002	3.709463825416573e-4	NA	3
treatment	Esomeprazole	4e-4	19	3.8927449998120303e-4	NA	3
treatment	Esomeprazole	4e-4	19.1	4.0847228342487954e-4	NA	3
treatment	Esomeprazole	4e-4	19.200000000000003	4.2857795728092513e-4	NA	3
treatment	Esomeprazole	4e-4	19.3	4.496312666267738e-4	NA	3
treatment	Esomeprazole	4e-4	19.400000000000002	4.7167353708979086e-4	NA	3
treatment	Esomeprazole	4e-4	19.5	4.947477376112696e-4	NA	3
treatment	Esomeprazole	4e-4	19.6	5.188985462004437e-4	NA	3
treatment	Esomeprazole	4e-4	19.700000000000003	5.441724187742558e-4	NA	3
treatment	Esomeprazole	4e-4	19.8	5.706176611666293e-4	NA	3
treatment	Esomeprazole	4e-4	19.900000000000002	5.982845043758105e-4	NA	3
treatment	Esomeprazole	4e-4	20	6.272251831006757e-4	NA	3
treatment	Esomeprazole	4e-4	20.1	6.574940175984946e-4	NA	3
treatment	Esomeprazole	4e-4	20.200000000000003	6.891474988728289e-4	NA	3
treatment	Esomeprazole	4e-4	20.3	7.222443771772038e-4	NA	3
treatment	Esomeprazole	4e-4	20.400000000000002	7.568457537931937e-4	NA	3
treatment	Esomeprazole	4e-4	20.5	7.930151760103197e-4	NA	3
treatment	Esomeprazole	4e-4	20.6	8.308187352057947e-4	NA	3
treatment	Esomeprazole	4e-4	20.700000000000003	8.703251678866055e-4	NA	3
treatment	Esomeprazole	4e-4	20.8	9.116059595187991e-4	NA	3
treatment	Esomeprazole	4e-4	20.900000000000002	9.547354509318845e-4	NA	3
treatment	Esomeprazole	4e-4	21	9.997909470433777e-4	NA	3
treatment	Esomeprazole	4e-4	21.1	0.0010468528276057652	NA	3
treatment	Esomeprazole	4e-4	21.200000000000003	0.0010960046596321762	NA	3
treatment	Esomeprazole	4e-4	21.3	0.0011473333111098997	NA	3
treatment	Esomeprazole	4e-4	21.400000000000002	0.0012009290655612811	NA	3
treatment	Esomeprazole	4e-4	21.5	0.0012568857369603967	NA	3
treatment	Esomeprazole	4e-4	21.6	0.0013153007844615811	NA	3
treatment	Esomeprazole	4e-4	21.700000000000003	0.0013762754263410648	NA	3
treatment	Esomeprazole	4e-4	21.8	0.0014399147524994027	NA	3
treatment	Esomeprazole	4e-4	21.900000000000002	0.0015063278348154351	NA	3
treatment	Esomeprazole	4e-4	22	0.001575627834586577	NA	3
treatment	Esomeprazole	4e-4	22.1	0.0016479321062344036	NA	3
treatment	Esomeprazole	4e-4	22.200000000000003	0.0017233622963972307	NA	3
treatment	Esomeprazole	4e-4	22.3	0.0018020444374784712	NA	3
treatment	Esomeprazole	4e-4	22.400000000000002	0.001884109034663594	NA	3
treatment	Esomeprazole	4e-4	22.5	0.001969691145367424	NA	3
treatment	Esomeprazole	4e-4	22.6	0.0020589304500266423	NA	3
treatment	Esomeprazole	4e-4	22.700000000000003	0.0021519713131032975	NA	3
treatment	Esomeprazole	4e-4	22.8	0.002248962833127381	NA	3
treatment	Esomeprazole	4e-4	22.900000000000002	0.0023500588805691284	NA	3
treatment	Esomeprazole	4e-4	23	0.0024554181223026598	NA	3
treatment	Esomeprazole	4e-4	23.1	0.0025652040314014394	NA	3
treatment	Esomeprazole	4e-4	23.200000000000003	0.0026795848809916686	NA	3
treatment	Esomeprazole	4e-4	23.3	0.0027987337208853396	NA	3
treatment	Esomeprazole	4e-4	23.400000000000002	0.0029228283357257837	NA	3
treatment	Esomeprazole	4e-4	23.5	0.003052051183392641	NA	3
treatment	Esomeprazole	4e-4	23.6	0.0031865893124496812	NA	3
treatment	Esomeprazole	4e-4	23.700000000000003	0.003326634257468651	NA	3
treatment	Esomeprazole	4e-4	23.8	0.0034723819111174706	NA	3
treatment	Esomeprazole	4e-4	23.900000000000002	0.0036240323719925614	NA	3
treatment	Esomeprazole	4e-4	24	0.003781789767264709	NA	3
treatment	Esomeprazole	4e-4	24.1	0.003945862049329364	NA	3
treatment	Esomeprazole	4e-4	24.200000000000003	0.0041164607657858485	NA	3
treatment	Esomeprazole	4e-4	24.3	0.004293800802228963	NA	3
treatment	Esomeprazole	4e-4	24.400000000000002	0.004478100097508445	NA	3
treatment	Esomeprazole	4e-4	24.5	0.004669579331311079	NA	3
treatment	Esomeprazole	4e-4	24.6	0.004868461584131205	NA	3
treatment	Esomeprazole	4e-4	24.700000000000003	0.005074971969926979	NA	3
treatment	Esomeprazole	4e-4	24.8	0.005289337242014813	NA	3
treatment	Esomeprazole	4e-4	24.900000000000002	0.005511785373008519	NA	3
treatment	Esomeprazole	4e-4	25	0.00574254510989357	NA	3
treatment	Esomeprazole	4e-4	25.1	0.005981845505609291	NA	3
treatment	Esomeprazole	4e-4	25.200000000000003	0.006229915428802916	NA	3
treatment	Esomeprazole	4e-4	25.3	0.006486983053715391	NA	3
treatment	Esomeprazole	4e-4	25.400000000000002	0.006753275332448815	NA	3
treatment	Esomeprazole	4e-4	25.5	0.007029017452156397	NA	3
treatment	Esomeprazole	4e-4	25.6	0.00731443227996542	NA	3
treatment	Esomeprazole	4e-4	25.700000000000003	0.007609739798698591	NA	3
treatment	Esomeprazole	4e-4	25.8	0.007915156536704849	NA	3
treatment	Esomeprazole	4e-4	25.900000000000002	0.00823089499530608	NA	3
treatment	Esomeprazole	4e-4	26	0.008557163077543242	NA	3
treatment	Esomeprazole	4e-4	26.1	0.008894163522037979	NA	3
treatment	Esomeprazole	4e-4	26.200000000000003	0.009242093345873437	NA	3
treatment	Esomeprazole	4e-4	26.3	0.009601143300433742	NA	3
treatment	Esomeprazole	4e-4	26.400000000000002	0.009971497344128364	NA	3
treatment	Esomeprazole	4e-4	26.5	0.0103533321358416	NA	3
treatment	Esomeprazole	4e-4	26.6	0.010746816552819857	NA	3
treatment	Esomeprazole	4e-4	26.700000000000003	0.011152111236509395	NA	3
treatment	Esomeprazole	4e-4	26.8	0.011569368169568979	NA	3
treatment	Esomeprazole	4e-4	26.900000000000002	0.011998730286984324	NA	3
treatment	Esomeprazole	4e-4	27	0.012440331123782141	NA	3
treatment	Esomeprazole	4e-4	27.1	0.012894294501407057	NA	3
treatment	Esomeprazole	4e-4	27.200000000000003	0.013360734254304275	NA	3
treatment	Esomeprazole	4e-4	27.3	0.013839753997684646	NA	3
treatment	Esomeprazole	4e-4	27.400000000000002	0.014331446936837224	NA	3
treatment	Esomeprazole	4e-4	27.5	0.01483589571770532	NA	3
treatment	Esomeprazole	4e-4	27.6	0.015353172317775238	NA	3
treatment	Esomeprazole	4e-4	27.700000000000003	0.01588333797561601	NA	3
treatment	Esomeprazole	4e-4	27.8	0.01642644315669362	NA	3
treatment	Esomeprazole	4e-4	27.900000000000002	0.016982527552432826	NA	3
treatment	Esomeprazole	4e-4	28	0.017551620108732933	NA	3
treatment	Esomeprazole	4e-4	28.1	0.018133739079540048	NA	3
treatment	Esomeprazole	4e-4	28.200000000000003	0.01872889210044617	NA	3
treatment	Esomeprazole	4e-4	28.3	0.019337076276660852	NA	3
treatment	Esomeprazole	4e-4	28.400000000000002	0.01995827827926502	NA	3
treatment	Esomeprazole	4e-4	28.5	0.020592474443121265	NA	3
treatment	Esomeprazole	4e-4	28.6	0.021239630859512214	NA	3
treatment	Esomeprazole	4e-4	28.700000000000003	0.021899703456280888	NA	3
treatment	Esomeprazole	4e-4	28.8	0.022572638058017798	NA	3
treatment	Esomeprazole	4e-4	28.900000000000002	0.023258370418820316	NA	3
treatment	Esomeprazole	4e-4	29	0.02395682622011659	NA	3
treatment	Esomeprazole	4e-4	29.1	0.0246679210261708	NA	3
treatment	Esomeprazole	4e-4	29.200000000000003	0.025391560190140453	NA	3
treatment	Esomeprazole	4e-4	29.3	0.02612763870387851	NA	3
treatment	Esomeprazole	4e-4	29.400000000000002	0.02687604098509078	NA	3
treatment	Esomeprazole	4e-4	29.5	0.0276366405960463	NA	3
treatment	Esomeprazole	4e-4	29.6	0.02840929988867107	NA	3
treatment	Esomeprazole	4e-4	29.700000000000003	0.029193869571538678	NA	3
treatment	Esomeprazole	4e-4	29.8	0.029990188195191832	NA	3
treatment	Esomeprazole	4e-4	29.900000000000002	0.03079808155304005	NA	3
treatment	Esomeprazole	4e-4	30	0.031617361996126365	NA	3
treatment	Esomeprazole	4e-4	30.1	0.0324478276610623	NA	3
treatment	Esomeprazole	4e-4	30.200000000000003	0.0332892616115459	NA	3
treatment	Esomeprazole	4e-4	30.3	0.034141430895049805	NA	3
treatment	Esomeprazole	4e-4	30.400000000000002	0.035004085517407316	NA	3
treatment	Esomeprazole	4e-4	30.5	0.035876957339333375	NA	3
treatment	Esomeprazole	4e-4	30.6	0.03675975890006641	NA	3
treatment	Esomeprazole	4e-4	30.700000000000003	0.037652182174686646	NA	3
treatment	Esomeprazole	4e-4	30.8	0.03855389727283839	NA	3
treatment	Esomeprazole	4e-4	30.900000000000002	0.039464551087915356	NA	3
treatment	Esomeprazole	4e-4	31	0.040383765906999464	NA	3
treatment	Esomeprazole	4e-4	31.1	0.04131113799305663	NA	3
treatment	Esomeprazole	4e-4	31.200000000000003	0.04224623615209195	NA	3
treatment	Esomeprazole	4e-4	31.3	0.04318860029914939	NA	3
treatment	Esomeprazole	4e-4	31.400000000000002	0.0441377400380588	NA	3
treatment	Esomeprazole	4e-4	31.5	0.04509313327094238	NA	3
treatment	Esomeprazole	4e-4	31.6	0.04605422485435351	NA	3
treatment	Esomeprazole	4e-4	31.700000000000003	0.04702042531984438	NA	3
treatment	Esomeprazole	4e-4	31.8	0.04799110967740809	NA	3
treatment	Esomeprazole	4e-4	31.900000000000002	0.04896561632095104	NA	3
treatment	Esomeprazole	4e-4	32	0.0499432460553021	NA	3
treatment	Esomeprazole	4e-4	32.1	0.050923261264727	NA	3
treatment	Esomeprazole	4e-4	32.2	0.05190488524290245	NA	3
treatment	Esomeprazole	4e-4	32.300000000000004	0.052887301704352144	NA	3
treatment	Esomeprazole	4e-4	32.4	0.053869654497086854	NA	3
treatment	Esomeprazole	4e-4	32.5	0.05485104753563911	NA	3
treatment	Esomeprazole	4e-4	32.6	0.05583054497304235	NA	3
treatment	Esomeprazole	4e-4	32.7	0.056807171629313466	NA	3
treatment	Esomeprazole	4e-4	32.800000000000004	0.05777991369270986	NA	3
treatment	Esomeprazole	4e-4	32.9	0.05874771970865905	NA	3
treatment	Esomeprazole	4e-4	33	0.059709501869340556	NA	3
treatment	Esomeprazole	4e-4	33.1	0.06066413761491374	NA	3
treatment	Esomeprazole	4e-4	33.2	0.061610471555096684	NA	3
treatment	Esomeprazole	4e-4	33.300000000000004	0.06254731771710086	NA	3
treatment	Esomeprazole	4e-4	33.4	0.06347346212310763	NA	3
treatment	Esomeprazole	4e-4	33.5	0.06438766569749442	NA	3
treatment	Esomeprazole	4e-4	33.6	0.06528866750042032	NA	3
treatment	Esomeprazole	4e-4	33.7	0.0661751882812477	NA	3
treatment	Esomeprazole	4e-4	33.800000000000004	0.06704593434132064	NA	3
treatment	Esomeprazole	4e-4	33.9	0.06789960169198242	NA	3
treatment	Esomeprazole	4e-4	34	0.0687348804899495	NA	3
treatment	Esomeprazole	4e-4	34.1	0.06955045972823283	NA	3
treatment	Esomeprazole	4e-4	34.2	0.07034503215699603	NA	3
treatment	Esomeprazole	4e-4	34.300000000000004	0.07111729940516151	NA	3
treatment	Esomeprazole	4e-4	34.4	0.07186597726994673	NA	3
treatment	Esomeprazole	4e-4	34.5	0.0725898011383049	NA	3
treatment	Esomeprazole	4e-4	34.6	0.07328753150119573	NA	3
treatment	Esomeprazole	4e-4	34.7	0.07395795951902495	NA	3
treatment	Esomeprazole	4e-4	34.800000000000004	0.07459991259435489	NA	3
treatment	Esomeprazole	4e-4	34.9	0.07521225990620795	NA	3
treatment	Esomeprazole	4e-4	35	0.07579391785917393	NA	3
treatment	Esomeprazole	4e-4	35.1	0.07634385539971997	NA	3
treatment	Esomeprazole	4e-4	35.2	0.07686109915218355	NA	3
treatment	Esomeprazole	4e-4	35.300000000000004	0.07734473832732952	NA	3
treatment	Esomeprazole	4e-4	35.4	0.07779392935779589	NA	3
treatment	Esomeprazole	4e-4	35.5	0.07820790021622642	NA	3
treatment	Esomeprazole	4e-4	35.6	0.07858595437467543	NA	3
treatment	Esomeprazole	4e-4	35.7	0.0789274743666516	NA	3
treatment	Esomeprazole	4e-4	35.800000000000004	0.07923192491698558	NA	3
treatment	Esomeprazole	4e-4	35.9	0.07949885560860849	NA	3
treatment	Esomeprazole	4e-4	36	0.07972790306013088	NA	3
treatment	Esomeprazole	4e-4	36.1	0.07991879259288416	NA	3
treatment	Esomeprazole	4e-4	36.2	0.08007133937145454	NA	3
treatment	Esomeprazole	4e-4	36.300000000000004	0.08018544900733074	NA	3
treatment	Esomeprazole	4e-4	36.4	0.0802611176206834	NA	3
treatment	Esomeprazole	4e-4	36.5	0.08029843136127009	NA	3
treatment	Esomeprazole	4e-4	36.6	0.08029756539497457	NA	3
treatment	Esomeprazole	4e-4	36.7	0.08025878236803964	NA	3
treatment	Esomeprazole	4e-4	36.800000000000004	0.08018243036634741	NA	3
treatment	Esomeprazole	4e-4	36.9	0.08006894039220047	NA	3
treatment	Esomeprazole	4e-4	37	0.07991882338557699	NA	3
